strain	rep	gen	batch	r	k	n0	auc	sigma
X	0	0	6	1.18780	0.34300	1.3153e-07	1.93686	0.01469
X	0	0	6	1.14062	0.33857	2.4376e-07	1.93585	0.01643
X	0	0	6	1.03415	0.33420	1.2475e-06	1.98920	0.01670
S	1	1511	6	1.36343	0.30169	1.8119e-08	1.76418	0.00914
S	2	1511	6	1.27307	0.31967	3.2412e-07	2.32828	0.01271
S	3	1511	6	1.25672	0.33137	8.2759e-08	1.96767	0.00996
S	4	1511	6	1.10808	0.22389	4.4982e-08	0.94501	0.01082
S	5	1511	6	1.36313	0.30450	1.7823e-08	1.79190	0.01119
S	6	1511	6	1.29996	0.29523	3.1379e-08	1.69442	0.01047
S	7	1511	6	1.32615	0.33074	3.8608e-08	1.98918	0.01021
S	8	1511	6	1.26753	0.29660	4.3149e-08	1.67274	0.00980
M	1	1511	6	1.07531	0.31597	1.5877e-06	2.10742	0.01187
M	2	1511	6	1.29265	0.27406	6.7965e-08	1.72715	0.00919
M	3	1511	6	1.13186	0.30761	6.6511e-07	2.00195	0.01061
M	4	1511	6	1.52371	0.23917	4.6636e-09	1.53877	0.01100
M	5	1511	6	1.03150	0.31414	1.7492e-06	1.95933	0.00822
M	6	1511	6	1.40257	0.25707	1.7259e-08	1.61318	0.01189
M	7	1511	6	1.27381	0.26722	7.7938e-08	1.65420	0.01208
M	8	1511	6	1.39844	0.27040	2.0483e-08	1.72986	0.01326
L	1	1511	6	1.16711	0.24444	4.0440e-07	1.62951	0.01196
L	2	1511	6	1.36006	0.29465	1.1702e-07	2.09528	0.00741
L	3	1511	6	1.23810	0.31415	2.4734e-07	2.10628	0.01085
L	4	1511	6	1.16074	0.31889	5.1055e-07	2.08598	0.01172
L	5	1511	6	1.58693	0.24542	8.2649e-09	1.78279	0.01047
L	6	1511	6	1.40851	0.28195	2.7309e-08	1.85236	0.01304
L	7	1511	6	1.25274	0.30701	1.4653e-07	1.95692	0.01004
L	8	1511	6	0.94236	0.27352	6.0423e-06	1.79438	0.01176
X	1	1511	6	1.71574	0.34297	9.4748e-09	2.68809	0.02749
X	2	1511	6	1.88881	0.32998	9.1538e-10	2.52052	0.02588
X	3	1511	6	1.76689	0.29428	4.8104e-09	2.33449	0.01337
X	4	1511	6	1.34315	0.22567	1.4182e-07	1.67576	0.01232
X	5	1511	6	2.61435	0.34486	5.6671e-13	2.67142	0.03714
X	6	1511	6	2.04023	0.34843	1.1568e-10	2.58784	0.03372
X	7	1511	6	1.41902	0.27460	1.9632e-08	1.76906	0.01225
X	8	1511	6	1.80462	0.29356	4.2795e-09	2.35645	0.02013
k	2	1511	6	0.71509	0.40209	3.7831e-06	0.86674	0.00658
k	2	1511	6	0.87933	0.31654	7.8786e-07	1.09545	0.00901
k	2	1511	6	0.85649	0.32344	8.9966e-07	1.03089	0.00830
S	0	0	7	1.31435	0.31592	2.7542e-08	1.56766	0.01097
S	0	0	7	1.24792	0.31901	6.3256e-08	1.60185	0.01104
S	0	0	7	1.31044	0.30175	3.6752e-08	1.55482	0.00881
M	0	0	7	1.30675	0.30735	5.2465e-08	1.65857	0.01028
M	0	0	7	1.32343	0.30987	5.1196e-08	1.71381	0.01032
M	0	0	7	1.36436	0.32007	1.6105e-08	1.60152	0.01160
L	0	0	7	1.09479	0.30178	3.5917e-07	1.46884	0.01027
L	0	0	7	1.05482	0.31419	1.7688e-07	1.16118	0.00862
L	0	0	7	1.05054	0.31242	1.7346e-07	1.13282	0.01155
X	0	0	7	1.20680	0.32384	1.7211e-07	1.73220	0.01429
X	0	0	7	1.32590	0.34587	3.7683e-08	1.81136	0.01313
X	0	0	7	1.06143	0.34025	1.0799e-06	1.84000	0.01819
S	1	1977	7	1.33198	0.32808	2.7049e-07	2.21291	0.00561
S	2	1977	7	1.73085	0.33848	1.9595e-08	2.58906	0.02716
S	3	1977	7	1.34550	0.33595	5.9559e-08	1.94258	0.01072
S	4	1977	7	1.05848	0.24588	1.1792e-07	0.88709	0.00923
S	5	1977	7	1.11452	0.32388	2.4166e-06	2.15214	0.01150
S	6	1977	7	1.20896	0.30669	3.7667e-07	1.84406	0.01143
S	7	1977	7	1.50479	0.33393	2.3614e-08	2.12981	0.01014
S	8	1977	7	1.31467	0.30170	4.8806e-08	1.62893	0.00967
M	1	1977	7	1.42645	0.32771	3.7787e-08	2.00062	0.01021
M	2	1977	7	1.62871	0.20966	7.3054e-09	1.42455	0.01060
M	3	1977	7	1.21483	0.31243	5.6819e-07	1.99637	0.01140
M	4	1977	7	1.53015	0.29072	1.9875e-08	1.90747	0.01062
M	5	1977	7	1.09445	0.30303	1.3810e-06	1.81796	0.01159
M	6	1977	7	1.44505	0.25110	4.6596e-08	1.66109	0.01463
M	7	1977	7	1.27921	0.25381	1.8811e-07	1.60381	0.01372
M	8	1977	7	1.46430	0.26061	2.3452e-08	1.62585	0.01032
L	1	1977	7	1.15265	0.27480	7.9302e-07	1.74255	0.01790
L	2	1977	7	1.32831	0.31151	1.3406e-07	1.94318	0.00750
L	3	1977	7	1.14514	0.30383	2.5856e-06	2.17054	0.01295
L	4	1977	7	1.49124	0.30425	2.4763e-08	1.93899	0.01059
L	5	1977	7	1.80597	0.22292	1.8567e-09	1.56608	0.01209
L	6	1977	7	1.70974	0.26909	2.6125e-09	1.77526	0.01453
L	7	1977	7	1.11546	0.28349	1.4847e-06	1.80646	0.01291
L	8	1977	7	0.93943	0.26677	1.5016e-05	1.80131	0.01502
X	1	1977	7	1.54888	0.29375	1.2724e-07	2.29025	0.01164
X	2	1977	7	1.63079	0.33415	3.4572e-08	2.47986	0.01626
X	3	1977	7	1.63132	0.28510	7.7847e-08	2.28888	0.01543
X	4	1977	7	1.64624	0.39833	1.1891e-08	2.69760	0.01154
X	5	1977	7	1.79324	0.34778	1.2435e-08	2.70479	0.01387
X	6	1977	7	1.54341	0.28609	1.7689e-08	1.87515	0.01184
X	7	1977	7	1.06331	0.32594	2.4608e-06	2.01728	0.01302
X	8	1977	7	2.74004	0.30916	1.3166e-12	2.42191	0.03287
k	2	1977	7	0.92962	0.32972	5.5978e-07	1.00473	0.00691
k	2	1977	7	0.96281	0.31720	4.4181e-07	1.05205	0.00737
k	2	1977	7	0.97323	0.31878	3.1628e-07	0.99856	0.00693
S	0	0	8	1.28767	0.31705	2.9276e-08	1.50459	0.01101
S	0	0	8	1.33751	0.31106	1.6709e-08	1.51357	0.01185
S	0	0	8	1.35352	0.30156	2.1054e-08	1.54805	0.00945
M	0	0	8	1.25720	0.30998	8.4397e-08	1.64090	0.01008
M	0	0	8	1.28866	0.30296	6.6264e-08	1.63578	0.00916
M	0	0	8	1.27541	0.32339	3.6431e-08	1.55174	0.01171
L	0	0	8	1.03097	0.31406	6.5779e-07	1.45578	0.00974
L	0	0	8	1.01870	0.31746	2.4411e-07	1.12334	0.00901
L	0	0	8	0.97868	0.30919	3.9052e-07	1.06610	0.00808
X	0	0	8	1.26337	0.35465	5.8878e-08	1.77821	0.01427
X	0	0	8	1.27368	0.32806	8.9457e-08	1.79147	0.01282
X	0	0	8	1.08546	0.32598	9.5273e-07	1.81094	0.01588
S	1	1977	8	1.28348	0.33309	2.9218e-07	2.18733	0.01237
S	2	1977	8	1.81330	0.33297	2.9036e-09	2.36794	0.02117
S	3	1977	8	1.34956	0.33617	4.3498e-08	1.87617	0.01064
S	4	1977	8	1.03030	0.25265	1.4987e-07	0.86818	0.00889
S	5	1977	8	1.16380	0.31913	1.3047e-06	2.09616	0.01165
S	6	1977	8	1.30018	0.30639	9.3836e-08	1.76688	0.01179
S	7	1977	8	1.47865	0.33005	2.2138e-08	2.04191	0.00989
S	8	1977	8	1.34133	0.29067	3.6583e-08	1.58803	0.00984
M	1	1977	8	1.38516	0.31773	6.2216e-08	1.95621	0.01106
M	2	1977	8	1.56515	0.21218	1.3662e-08	1.44440	0.01150
M	3	1977	8	1.20358	0.31261	6.3463e-07	1.99104	0.01166
M	4	1977	8	1.50362	0.29256	2.3686e-08	1.89987	0.01104
M	5	1977	8	1.07291	0.29947	1.4899e-06	1.76662	0.01294
M	6	1977	8	1.34812	0.25371	7.9192e-08	1.57737	0.01133
M	7	1977	8	1.32900	0.26444	9.8167e-08	1.63770	0.01184
M	8	1977	8	1.39679	0.26010	4.7075e-08	1.61181	0.01080
L	1	1977	8	1.35900	0.25519	7.2833e-08	1.61008	0.01254
L	2	1977	8	1.39789	0.29648	6.4873e-08	1.87355	0.00900
L	3	1977	8	1.21114	0.30618	8.6823e-07	2.06437	0.01111
L	4	1977	8	1.47857	0.29643	2.1280e-08	1.85452	0.01056
L	5	1977	8	1.75210	0.22018	3.1626e-09	1.54830	0.01184
L	6	1977	8	1.68331	0.27200	2.5198e-09	1.74183	0.01450
L	7	1977	8	1.26644	0.29297	1.8998e-07	1.76822	0.01298
L	8	1977	8	0.97947	0.27126	7.0524e-06	1.73986	0.01418
X	1	1977	8	1.11841	0.32589	5.4578e-06	2.40081	0.01274
X	2	1977	8	1.51964	0.33183	6.3843e-08	2.36378	0.01492
X	3	1977	8	1.40806	0.31213	3.2954e-07	2.33557	0.01009
X	4	1977	8	1.44053	0.28520	6.2682e-08	1.90272	0.01242
X	5	1977	8	2.11823	0.33069	4.7941e-10	2.55766	0.01422
X	6	1977	8	1.58036	0.26936	1.2273e-08	1.78333	0.01157
X	7	1977	8	1.07855	0.30323	2.0094e-06	1.88579	0.01224
X	8	1977	8	2.09529	0.32072	6.8885e-10	2.49746	0.02937
k	2	1977	8	0.78618	0.37472	2.3839e-06	0.85567	0.00577
k	2	1977	8	0.89685	0.32812	8.2435e-07	0.97739	0.00678
k	2	1977	8	0.86968	0.33418	9.4360e-07	0.90050	0.00639
S	0	0	9	1.42131	0.33307	1.0155e-08	1.97757	0.00820
S	0	0	9	1.45994	0.34459	6.1986e-09	2.03750	0.00917
S	0	0	9	1.43116	0.33843	1.2832e-08	2.09016	0.00863
